cycle: 0; nbPreys: 200; minEnergyPreys: 0.014005320663267207; maxSizePreys: 0.9947073581911391; nbPredators: 20; minEnergyPredators: 0.0017649220526451126; maxSizePredators: 0.9221438469637809
cycle: 1; nbPreys: 190; minEnergyPreys: 0.0620445363495417; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.10204787839228792; maxSizePredators: 1.0
cycle: 2; nbPreys: 178; minEnergyPreys: 0.11106414419267893; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.25669987618641266; maxSizePredators: 1.0
cycle: 3; nbPreys: 172; minEnergyPreys: 0.1610641441926789; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.23669987618641267; maxSizePredators: 1.0
cycle: 4; nbPreys: 171; minEnergyPreys: 0.14591014298620927; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.21669987618641268; maxSizePredators: 1.0
cycle: 5; nbPreys: 165; minEnergyPreys: 0.1959101429862093; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.1966998761864127; maxSizePredators: 1.0
cycle: 6; nbPreys: 158; minEnergyPreys: 0.2459101429862093; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.1868375084589473; maxSizePredators: 1.0
cycle: 7; nbPreys: 154; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.16683750845894732; maxSizePredators: 1.0
cycle: 8; nbPreys: 167; minEnergyPreys: 0.1525905706661663; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.14683750845894733; maxSizePredators: 1.0
cycle: 9; nbPreys: 163; minEnergyPreys: 0.11043370792106826; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.12683750845894734; maxSizePredators: 1.0
cycle: 10; nbPreys: 154; minEnergyPreys: 0.1147058823529412; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.10683750845894734; maxSizePredators: 1.0
cycle: 11; nbPreys: 149; minEnergyPreys: 0.0735294117647059; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.08683750845894733; maxSizePredators: 1.0
cycle: 12; nbPreys: 144; minEnergyPreys: 0.03235294117647057; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.06683750845894733; maxSizePredators: 1.0
cycle: 13; nbPreys: 138; minEnergyPreys: 0.08333333333333334; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.046837508458947325; maxSizePredators: 1.0
cycle: 14; nbPreys: 148; minEnergyPreys: 0.13333333333333336; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.026837508458947324; maxSizePredators: 1.0
cycle: 15; nbPreys: 143; minEnergyPreys: 0.18333333333333335; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.006837508458947324; maxSizePredators: 1.0
cycle: 16; nbPreys: 138; minEnergyPreys: 0.23333333333333336; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.24666666666666662; maxSizePredators: 1.0
cycle: 17; nbPreys: 129; minEnergyPreys: 0.2833333333333333; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.22666666666666663; maxSizePredators: 1.0
cycle: 18; nbPreys: 124; minEnergyPreys: 0.30709490596546923; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.20666666666666664; maxSizePredators: 1.0
cycle: 19; nbPreys: 122; minEnergyPreys: 0.15465686274509782; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.18666666666666665; maxSizePredators: 1.0
